"feature_name","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","maximum_absolute_loading","feature_set"
"F2021_mz219.1749_rt1.21",-0.00231242572476954,-0.00318731820016808,-0.0476564881778325,0.00275911236120094,0.00343847300468994,-0.028040998925497,0.00694784595744412,0.00121484200744895,0.00808467587811019,-0.00488419290874969,0.0168104285008895,-0.000802431170337015,0.0177424379137398,-0.00125956191231726,0.0443105874447031,0.0105828821509377,-0.0132921526376433,-0.0128476321186856,0.00473324498841733,-0.0258720836590594,-0.00368930463062631,0.0266439991633446,-0.00814820829349493,-0.00944777610494839,0.0476564881778325,"Top_4144"
"F181_mz86.0602_rt0.45",0.00352326991727365,-0.00206431416586121,0.0475120718607161,0.0148120249100845,-0.00342493672973926,-0.0113327522241293,0.0234892567530537,0.0110051735232727,-0.0023368698794773,0.00292369052106621,0.0184261291725403,-0.0128313733587822,0.0134535376642718,0.00365330521628414,-0.00717187138433318,0.0014171247588276,-0.00680180015600735,0.00179601704280193,-0.00635174714801964,0.00910044215807836,0.00982009162813538,-0.00465333359383652,-0.00465726444848269,0.0354888027339783,0.0475120718607161,"Top_4144"
"F2587_mz264.0986_rt1.08",-0.000810183740799062,0.0047912913460233,-0.0465735793987592,0.00340591153411669,0.00263247702424419,-0.0238632712719395,0.00380991916457089,-0.00353332633387822,0.0125699923318262,0.014313026510753,0.0145549236526389,0.0021093673952165,0.00481309252545072,0.00370317633891881,-0.0117705982340931,0.0414009805675989,0.0483805064108007,0.0389798054114923,-0.0069050134204379,-0.0048690225825021,-0.0178113785112319,-0.00358183341221467,-0.0131639342824382,0.00310070159040689,0.0465735793987592,"Top_4144"
"F1754_mz201.1642_rt1.21",-0.000909764296220905,-0.00631530746501053,-0.0461958229180244,0.0127611713211579,-0.00116185332418992,-0.0384017830549929,-0.00441703965834715,-0.010665683287034,0.0243716113124498,-4.23285035663475e-05,0.0103868172509956,-0.00607516699300667,0.0002816141521459,0.00473874664276205,0.000357495372692596,0.00507662383419291,0.00155166954886758,0.000173953858296803,0.0042369395379967,0.000867178140208039,0.00472935641559853,0.000295937425306581,0.0015274137664087,-0.00253070142311892,0.0461958229180244,"Top_4144"
"F362_mz104.0707_rt0.55",-0.00591977444809937,0.00186461387545838,0.0447974811384572,0.0117549330896104,0.0195207654089701,-0.0220205170542189,0.018383720446381,0.0212036478632728,-0.00461855072347169,-0.000499559941392468,0.0189359195982707,-0.00388913931516049,0.00330481941114206,-0.00854079222035788,0.010305964105351,-0.0157523651530065,0.000487393758510733,0.00946572337527151,0.00140381206425514,-0.00824416625696281,0.0113204181128915,-0.00672413438797206,-0.00230664570762491,-0.00646705093881648,0.0447974811384572,"Top_4144"
"F3461_mz331.1297_rt1.01",0.00556793720013072,0.00625417417972627,-0.0443374828808357,0.0130941824705875,-0.0026063440706816,0.0282633900524346,0.0112594726325704,-0.0276751795404076,0.000793844320482261,-0.00197976034931497,0.0203861240973531,0.00372350164866195,0.0152277320594909,-0.00517507670828896,0.0264240249361352,0.00797935386138834,0.0102631490790102,0.00358907010825414,0.000746462273117544,0.00413081887900238,-0.0043323517478761,-6.73190091144158e-05,0.00522168573432678,-0.0145345498692066,0.0443374828808357,"Top_4144"
"F1765_mz202.1078_rt1",0.00716198440251651,-0.00579684873746405,-0.0442519142153736,0.00118567318515177,-0.0137610059071597,-0.0124847038198488,0.00873927558527013,0.0216586234629538,0.0101550791978557,-0.0197797556895142,0.0247105296857049,-0.0116781883276259,0.0078560382734197,0.0396711689791181,0.011440351242758,-0.0140239099561522,-0.000833776469692941,0.00425105597323922,0.00163856237803069,-0.00190152674697406,-0.00268876315034183,-0.0105537167726404,-0.0124169834853941,0.00473860892809059,0.0442519142153736,"Top_4144"
"F1789_mz203.1798_rt1.6",-0.000120747047133796,-0.0108908202150215,-0.0438001424458229,0.0132719812747205,-0.000987747105252122,-0.040706339047692,0.0184460994195792,0.00517465286579121,0.00708664616869949,-0.000870057017821917,0.0122731741428148,-0.00190349946042082,-8.30563686699407e-05,0.00622365845791862,-0.0053884497041142,0.00491719158679345,0.00162722819164361,-1.40812468248114e-05,0.00270993300391889,0.000802403390698921,0.00575266293770181,-0.000638709845659786,0.00125530265710928,0.00117362608828842,0.0438001424458229,"Top_4144"
"F958_mz145.1015_rt1.21",-0.00779193352116846,-0.00110515800819971,-0.0437797179447135,0.00092786611124915,0.0028730559465142,-0.034777935073226,-0.00259923158545046,-0.0129729295964494,-0.0153554322016222,-0.0196946522915808,-0.00362514108412749,-0.00270475527992032,-0.00722041248525613,-0.0147576157092503,0.0115432055704209,0.00149166444496911,0.000960723678110768,0.0444251500523456,0.00476168390254433,0.0205342222086881,0.0146229425516954,-0.0455825427610788,0.00143867724673442,0.000330053572123007,0.0437797179447135,"Top_4144"
"F2350_mz245.181_rt0.44",-0.00160089831074581,0.00249341510358631,-0.043757917145835,-0.00686145263155553,0.029481701287495,-0.0252056510741614,-0.00848568551314407,0.0117220147790678,-0.000121979094393745,-0.0444987095113486,0.00411747328204372,0.00530767546574092,0.00803815744026035,0.0123285270720254,-0.0091848513918508,0.0149617070239146,0.0158242883706029,0.0171044692286603,-0.0253029925857558,0.00435690937144056,0.00634091160462569,-0.0033537352914871,0.00245618681218421,-0.0111977980624689,0.043757917145835,"Top_4144"
