"feature_name","old_control_logFC","old_control_p","old_control_FDR","new_control_logFC","new_control_p","new_control_FDR","old_new_logFC","old_new_p","old_new_FDR","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","RT_flag","MSMS_flag","annotation_flag","old_significant","new_significant","age_significant","same_direction","fungal_age_category"
"F2997_mz293.1824_rt0.43",0.686788475065326,0.0234006186864172,0.0948107819509357,-1.83284621864805,1.16230354062204e-05,0.00297373099685525,2.6857492015434,6.98586834190316e-05,0.0142579139927078,2997,0.427,293.18243,"Unknown","[M+H]+","ion correlated with 2083",0.214,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",113.53,2269.33333333333,537.018499486125,13,"Very early RT","No MS/MS assignment","Unknown",FALSE,TRUE,TRUE,FALSE,"Age-sensitive fungal effect"
"F886_mz141.0549_rt0.94",-0.170286230862432,0.590960572225163,0.671115885074522,2.67822261058601,0.000240917490688012,0.00434952126925572,-2.68238942736857,7.77311052350001e-05,0.0142579139927078,886,0.942,141.05487,"Unknown","[M+H]+",NA,0.25,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",62.69,50610.6666666667,16.8357229887707,24,"Early RT","No MS/MS assignment","Unknown",FALSE,TRUE,TRUE,FALSE,"Age-sensitive fungal effect"
"F260_mz97.0287_rt0.94",-0.108777372959159,0.693233400997598,0.762086524643192,2.58518295443101,0.000111038352200825,0.00374086832920911,-2.52784158263514,9.13810183786274e-05,0.0142579139927078,260,0.94,97.02866,"Unknown","[M+H]+","similar chromatogram in higher mz_886; similar chromatogram in higher mz_2802; similar chromatogram in higher mz_3443",0.214,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",83.81,56925,17.4074939395004,24,"Early RT","No MS/MS assignment","Unknown",FALSE,TRUE,TRUE,FALSE,"Age-sensitive fungal effect"
"F1386_mz176.0558_rt0.69",0.477180889465615,0.0964995626693868,0.208815660150833,-1.74302161290468,0.000134791655722579,0.00387312732266146,2.38631081922582,9.72288338518799e-05,0.0142579139927078,1386,0.687,176.05583,"Unknown","[M+H]+","ion correlated with 1390; ion correlated with 970; ion correlated with 917; ion correlated with 1979; ion correlated with 825; ion correlated with 2134; ion correlated with 1891; ion correlated with 1688; ion correlated with 1086",0.036,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",81.62,0,375909,13,"Early RT","No MS/MS assignment","Unknown",FALSE,TRUE,TRUE,FALSE,"Age-sensitive fungal effect"
"F1578_mz190.0502_rt1.03",5.79882748432766,4.33413363123598e-05,0.0196682984185489,0.837611603543845,0.00117999569190829,0.00933306697084254,5.1273212469412,0.000124071531194171,0.0159199283463521,1578,1.032,190.05022,"Unknown","[M+H]+","ion correlated with 650; ion correlated with 885",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1425.28,625.666666666667,6774.55372340426,20,"RT >= 1 min","MS/MS available","Unknown",TRUE,TRUE,TRUE,TRUE,"Age-sensitive fungal effect"
"F636_mz124.0396_rt1.02",-1.92064990734978,0.000978337965728559,0.0475363011579493,0.427122710856229,0.0962280302060226,0.177015906456784,-2.18165284053867,0.000120409074920925,0.0159199283463521,636,1.025,124.03963,"Unknown","[M+H]+",NA,0.179,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",45.45,105861,16.4496136479568,24,"RT >= 1 min","MS/MS available","Unknown",TRUE,FALSE,TRUE,FALSE,"Age-sensitive fungal effect"
"F2122_mz227.1394_rt0.79",0.389245677376246,0.176093565316139,0.293791396839941,-2.37811276885148,0.000316125152769311,0.00481613487776064,2.93347091484124,0.000137835079139208,0.0163810283752749,2122,0.788,227.13943,"Unknown","[M+H]+",NA,0.179,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",124.16,0,939333,14,"Early RT","No MS/MS assignment","Unknown",FALSE,TRUE,TRUE,FALSE,"Age-sensitive fungal effect"
"F1062_mz153.0408_rt0.75",2.12214686838796,0.000438164351287147,0.0457902816646201,-0.349751673510131,0.117525177605595,0.206647678671341,2.6380151367355,0.000143623239529931,0.0163810283752749,1062,0.749,153.04083,"Unknown","[M+H]+","similar chromatogram in higher mz_3448",0.429,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",157.68,14715,459.11518075564,19,"Early RT","MS/MS available","Unknown",TRUE,FALSE,TRUE,FALSE,"Age-sensitive fungal effect"
"F2741_mz275.1105_rt0.92",-0.227672914020028,0.545415902038523,0.630758757250463,2.8121271897791,5.46234713016385e-05,0.00335122377985728,-2.87367111543487,0.000198612830660484,0.0214606390182091,2741,0.921,275.1105,"Unknown","[M+H]+",NA,0.143,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",41.56,0,279610,15,"Early RT","No MS/MS assignment","Unknown",FALSE,TRUE,TRUE,FALSE,"Age-sensitive fungal effect"
"F2247_mz237.1852_rt1.58",8.1034834100286,2.87349078076832e-05,0.0196682984185489,1.98722074432086,0.00406647638963279,0.0188180982418267,6.28208960686273,0.000223303222875797,0.0229220758282006,2247,1.584,237.18524,"Unknown","[M+H]+",NA,0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",102.13,1426.33333333333,525.005604857543,18,"RT >= 1 min","MS/MS available","Unknown",TRUE,TRUE,TRUE,TRUE,"Age-sensitive fungal effect"
