"feature_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","comparison","higher_in","result_category"
"F953_mz145.0498_rt0.57",-0.20756602495399,19.8245141073532,-1.15807011018053,0.299675638177533,0.343488877898683,-6.45521475508993,953,0.569,145.04977,"Unknown","[M+H]+",NA,0.143,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",151.8,260402.333333333,11.9930530843179,24,"Exudate vs Leaf","Leaf","Not selected"
"F2179_mz231.0979_rt0.49",-0.705628625789121,15.666039666538,-1.15764400178324,0.299834118289535,0.343488877898683,-6.45567791845962,2179,0.491,231.09792,"Unknown","[M+H]+",NA,0.357,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",96.07,2931.66666666667,190.670152307343,24,"Exudate vs Leaf","Leaf","Not selected"
"F1765_mz202.1078_rt1",1.11620706885763,14.9030737091,1.15742350977884,0.299916153684188,0.343488877898683,-6.45591754657672,1765,1.003,202.1078,"Unknown","[M+H]+","ion correlated with 4067; ion correlated with 4082; ion correlated with 3243; ion correlated with 650; ion correlated with 1504; ion correlated with 1578; ion correlated with 1606",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",296.01,10267.6666666667,143.679705252224,23,"Exudate vs Leaf","Exudate","Not selected"
"F5125_mz768.563_rt7.9",-5.08909385015956,11.8900664614252,-1.15353461721022,0.301366297650732,0.344824397123458,-6.46013966110164,5125,7.896,768.56299,"Unknown","[M+H]+",NA,0.036,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",45.26,4900,29.959600081616,23,"Exudate vs Leaf","Leaf","Not selected"
"F3846_mz366.2492_rt1.21",0.451889226471845,16.6137155356888,1.15070085934358,0.302426877257494,0.345712080028812,-6.46321110280672,3846,1.212,366.24918,"Unknown","[M+H]+","ion correlated with 4166; ion correlated with 1381; ion correlated with 1635; ion correlated with 3816; ion correlated with 2872; ion correlated with 3642; ion correlated with 4381; ion correlated with 1402; ion correlated with 3886; ion correlated with 3495",0.071,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",15.43,29959,8.71498664886515,24,"Exudate vs Leaf","Exudate","Not selected"
"F2511_mz258.1104_rt0.46",0.376709903778649,18.2069811474277,1.14839784113071,0.303291238219829,0.346374001127819,-6.46570409065456,2511,0.455,258.11044,"Unknown","[M+H]+","ion correlated with 992; ion correlated with 582; ion correlated with 1228; ion correlated with 63",0.571,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",4164.03,1724,21198.5002898551,24,"Exudate vs Leaf","Exudate","Not selected"
"F1285_mz169.095_rt0.41",5.1902914411947,12.5186663722469,1.14592514109801,0.304221702093365,0.347110099944874,-6.46837755342658,1285,0.412,169.09497,"Unknown","[M+H]+","ion correlated with 1831; ion correlated with 1304; ion correlated with 4409",0.357,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",235.19,54434.6666666667,49.3990275983271,22,"Exudate vs Leaf","Exudate","Not selected"
"F1581_mz190.0866_rt0.98",-4.49195511168533,11.0033305885155,-1.13692365671223,0.307630122441004,0.350669454125238,-6.47808168672956,1581,0.984,190.08664,"Unknown","[M+H]+","ion correlated with 3628; ion correlated with 2688; ion correlated with 3480; ion correlated with 3900; ion correlated with 4443; ion correlated with 3294; ion correlated with 3451; ion correlated with 2698; ion correlated with 1836; ion correlated with 3479",0.143,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",65.45,692.333333333333,751.7625,18,"Exudate vs Leaf","Leaf","Not selected"
"F2801_mz279.1346_rt1.18",-4.4540889165061,10.9399035333143,-1.13503818538917,0.308348283963437,0.351158364663801,-6.48010869814607,2801,1.182,279.13461,"Unknown","[M+H]+","ion correlated with 1097; ion correlated with 2369; ion correlated with 2102",0.107,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",37.47,1435.66666666667,404.588631090487,21,"Exudate vs Leaf","Leaf","Not selected"
"F5137_mz780.5517_rt8.71",4.65491887499459,11.2312954091617,1.12551741472036,0.311997116242619,0.354980786427872,-6.4903140740194,5137,8.71,780.5517,"Unknown","[M+H]+","ion correlated with 5115; ion correlated with 5148",0.071,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",66.41,1640.66666666667,170.383553299492,23,"Exudate vs Leaf","Exudate","Not selected"
