"feature_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","comparison","higher_in","result_category"
"F1640_mz194.0815_rt0.89",1.23830615534427,18.9199366835454,3.08281070656162,0.0269046052032336,0.100240639090537,-3.63255360699913,1640,0.89,194.08147,"Unknown","[M+H]+","ion correlated with 1525",0.107,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",93.59,4190.66666666667,171.626242544732,17,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - exploratory"
"F1638_mz193.9829_rt0.43",-1.37506763531971,17.7509811428502,-3.0800836278383,0.0269888484452632,0.10038966741361,-3.63592618059008,1638,0.428,193.98294,"Unknown","[M+H]+","ion correlated with 710; ion correlated with 4897",0.214,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",65.77,5024,84.6461691542289,23,"Fungi old vs Fungal control","Fungal control","Fungal control enriched - exploratory"
"F1006_mz148.097_rt0.76",-5.18675519987916,19.2985349214239,-3.07465406521858,0.0271574561096739,0.100690872131939,-3.64264403571627,1006,0.759,148.09697,"Unknown","[M+H]+","ion correlated with 817; ion correlated with 2371; ion correlated with 2730; ion correlated with 1376; ion correlated with 2017; ion correlated with 474",0.357,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",373.79,17523.3333333333,266.638559716965,19,"Fungi old vs Fungal control","Fungal control","Fungal control enriched - exploratory"
"F2698_mz273.1563_rt1",-4.3234114837564,16.9465516353866,-3.07461806051799,0.0271585781157985,0.100690872131939,-3.64268859725022,2698,1.001,273.15631,"Unknown","[M+H]+","ion correlated with 95; ion correlated with 3480; ion correlated with 3778; ion correlated with 3900; ion correlated with 4443; ion correlated with 3785; ion correlated with 2332; ion correlated with 916; ion correlated with 3465; ion correlated with 3294; ion correlated with 3477; ion correlated with 4312; ion correlated with 1581; ion correlated with 3913; ion correlated with 3451; ion correlated with 61; ion correlated with 3613; ion correlated with 761; ion correlated with 3479; ion correlated with 4022; ion correlated with 3786; ion correlated with 3587; ion correlated with 3129; ion correlated with 3160; ion correlated with 2526",0.143,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",47.78,0,680612,13,"Fungi old vs Fungal control","Fungal control","Fungal control enriched - exploratory"
"F1766_mz202.1081_rt0.49",1.50060388399064,16.5120725319995,3.06383177394357,0.0274970569988547,0.101779481778795,-3.65604654174876,1766,0.489,202.10815,"Unknown","[M+H]+",NA,0.071,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",43.43,13047.6666666667,11.069023655035,18,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - exploratory"
"F917_mz143.1183_rt0.67",0.896954478201102,18.0032163760588,3.05635826221288,0.0277343479894571,0.102490611706968,-3.66531144162301,917,0.668,143.1183,"Unknown","[M+H]+","ion correlated with 1390; ion correlated with 1386",0.107,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",73.43,0,373125,10,"Fungi old vs Fungal control","Fungi old","Not selected"
"F3539_mz337.1611_rt0.79",2.52093717536716,16.6370035410437,3.05399371901719,0.0278099009019568,0.102528909770097,-3.66824438568457,3539,0.791,337.16113,"Unknown","[M+H]+","ion correlated with 3985",0.071,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",157.31,0,303120,7,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - exploratory"
"F747_mz131.1293_rt0.42",-3.40185341637536,21.3052558170165,-3.05320713338171,0.027835085243887,0.102528909770097,-3.66922022746483,747,0.42,131.1293,"Unknown","[M+H]+","ion correlated with 1096; ion correlated with 4587; similar chromatogram in higher mz_1471; similar chromatogram in higher mz_1682; similar chromatogram in higher mz_1689; similar chromatogram in higher mz_2567",0.5,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",818.65,0,10936066,17,"Fungi old vs Fungal control","Fungal control","Fungal control enriched - exploratory"
"F1727_mz200.0923_rt1.07",2.72054039962672,16.9528254360747,3.04798279310362,0.028003003319554,0.102932870299825,-3.67570375313553,1727,1.074,200.09227,"Unknown","[M+H]+","ion correlated with 2388",0.071,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",100.8,3263.66666666667,179.867061466204,23,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - exploratory"
"F2190_mz232.1184_rt1.12",-1.89753811416614,19.1628863928276,-3.04697627576545,0.0280354842861578,0.102932870299825,-3.67695329996958,2190,1.122,232.11841,"Unknown","[M+H]+","ion correlated with 1378; ion correlated with 3569; ion correlated with 2499",0.286,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",183.08,659.666666666667,1979.00252270434,22,"Fungi old vs Fungal control","Fungal control","Fungal control enriched - exploratory"
