"","Leaf","Root","Exudate","Soil","Fungal_control","Fungal_out","Fungal_in","Fungi_old"
"Leaf",100,92.1859039836568,80.1320132013201,80.794701986755,59.6293604651163,60.4197901049475,62.0849096258932,63.7212923316466
"Root",92.1859039836568,100,73.5313531353135,73.7086092715232,69.8161389172625,69.3564862104188,66.5985699693565,69.1011235955056
"Exudate",80.1320132013201,73.5313531353135,100,91.7880794701987,89.3729372937294,88.6468646864686,84.2244224422442,89.1089108910891
"Soil",80.794701986755,73.7086092715232,91.7880794701987,100,89.4701986754967,88.3443708609272,84.3046357615894,89.8675496688742
"Fungal_control",59.6293604651163,69.8161389172625,89.3729372937294,89.4701986754967,100,95.8020989505247,95.4182429592266,88.3223043985987
"Fungal_out",60.4197901049475,69.3564862104188,88.6468646864686,88.3443708609272,95.8020989505247,100,96.2589323245061,87.0377578824445
"Fungal_in",62.0849096258932,66.5985699693565,84.2244224422442,84.3046357615894,95.4182429592266,96.2589323245061,100,86.2967633459437
"Fungi_old",63.7212923316466,69.1011235955056,89.1089108910891,89.8675496688742,88.3223043985987,87.0377578824445,86.2967633459437,100
