"feature_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","comparison","higher_in","result_category"
"F3931_mz375.1875_rt0.91",-0.821612598289225,17.418388983666,-3.24323347426556,0.0232129720041931,0.0612714493599051,-3.88703673036306,3931,0.906,375.18753,"Unknown","[M+H]+","ion correlated with 2390; ion correlated with 3552; ion correlated with 1755; ion correlated with 1814; ion correlated with 4243; ion correlated with 1841; ion correlated with 3732; ion correlated with 4137; ion correlated with 999; ion correlated with 3501; ion correlated with 647; ion correlated with 4252; ion correlated with 2248; ion correlated with 3443; ion correlated with 3601; ion correlated with 4036; ion correlated with 4637; ion correlated with 3721; ion correlated with 3248; ion correlated with 4467; ion correlated with 2515",0.179,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",170.52,0,426469,12,"Fungal in vs Fungal control","Fungal control","Not selected"
"F1894_mz211.1485_rt2.08",-1.06633009254156,12.5851421420944,-3.23395528800051,0.0234517989390097,0.0617808830275307,-3.89843677566674,1894,2.077,211.1485,"Unknown","[M+H]+","ion correlated with 2751; ion correlated with 378; ion correlated with 742; ion correlated with 957; ion correlated with 1497; ion correlated with 1629; ion correlated with 1658; ion correlated with 2022; ion correlated with 797; ion correlated with 1838; ion correlated with 2911; ion correlated with 628; ion correlated with 780; ion correlated with 1351; ion correlated with 1570; ion correlated with 1694; ion correlated with 1719; ion correlated with 2137; ion correlated with 2318; ion correlated with 4946; ion correlated with 596; ion correlated with 1191; ion correlated with 2158; ion correlated with 4919; ion correlated with 532; ion correlated with 2500; ion correlated with 3522; ion correlated with 2562; ion correlated with 2394; ion correlated with 56; ion correlated with 1140; ion correlated with 1167; ion correlated with 1258; ion correlated with 1468; ion correlated with 2582; ion correlated with 3941; ion correlated with 5039; ion correlated with 2347; ion correlated with 3777; ion correlated with 3997",0.107,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",23.04,441.333333333333,590.33986435569,17,"Fungal in vs Fungal control","Fungal control","Fungal control enriched - exploratory"
"F2033_mz221.0249_rt0.45",-0.658149670816847,20.4196788146451,-3.23362291762884,0.0234604058016438,0.0617808830275307,-3.89884538695601,2033,0.45,221.02493,"Unknown","[M+H]+",NA,0.571,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",302.13,2911.66666666667,980.722590981918,20,"Fungal in vs Fungal control","Fungal control","Not selected"
"F2791_mz278.1239_rt0.61",-1.13562400186817,20.0004322266513,-3.23133829996889,0.0235196636451803,0.0618651639334407,-3.90165449263057,2791,0.613,278.12387,"Unknown","[M+H]+",NA,0.393,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",384.86,612.666666666667,5136.60782183596,13,"Fungal in vs Fungal control","Fungal control","Fungal control enriched - exploratory"
"F1543_mz187.1331_rt1.1",-0.43813942597882,17.0847286174234,-3.22584035313684,0.0236629630677454,0.0621700534303033,-3.90841769807124,1543,1.1,187.13312,"Unknown","[M+H]+",NA,0.071,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",22.64,17847.6666666667,13.3209950323087,23,"Fungal in vs Fungal control","Fungal control","Not selected"
"F2792_mz278.1507_rt1.11",-0.687987564466934,15.7793742220919,-3.22443582181356,0.0236997291492286,0.0621843629893808,-3.9101461543048,2792,1.108,278.1507,"Unknown","[M+H]+","ion correlated with 2136; ion correlated with 1825; ion correlated with 2029; ion correlated with 3450; ion correlated with 4030",0.036,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",32.83,12918.6666666667,10.2883459325576,23,"Fungal in vs Fungal control","Fungal control","Not selected"
"F2837_mz282.1456_rt1.22",-0.458447558780619,16.584446291022,-3.22354057513704,0.0237231975104863,0.0621843629893808,-3.911248018037,2837,1.221,282.14557,"Unknown","[M+H]+","ion correlated with 1980; ion correlated with 2147",0.071,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",35.19,20132,11.0346197784732,24,"Fungal in vs Fungal control","Fungal control","Not selected"
"F2737_mz275.0387_rt0.41",0.451699162742708,17.782380979648,3.21854541684605,0.0238546258681837,0.0624567482361904,-3.91739813494977,2737,0.413,275.03873,"Unknown","[M+H]+","ion correlated with 2241; ion correlated with 3590; ion correlated with 3769; ion correlated with 2967; ion correlated with 1965; ion correlated with 1045; ion correlated with 1475",0.357,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",995.26,0,336848,12,"Fungal in vs Fungal control","Fungal in","Not selected"
"F3155_mz303.6718_rt0.99",-1.39612760294019,17.1652704932942,-3.20636059296461,0.0241786889817961,0.0632322857012408,-3.93241525403596,3155,0.99,303.67181,"Unknown","[M+H]+","ion correlated with 3601; ion correlated with 4436; ion correlated with 4397; ion correlated with 4036; ion correlated with 3721; ion correlated with 4467; ion correlated with 2515; ion correlated with 4238; ion correlated with 2432; ion correlated with 3269; ion correlated with 4231; ion correlated with 3920; ion correlated with 4125; ion correlated with 4454; ion correlated with 4150; ion correlated with 4138; ion correlated with 1750; ion correlated with 2228; ion correlated with 4178; ion correlated with 3776",0.25,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",5116.53,0,458775,10,"Fungal in vs Fungal control","Fungal control","Fungal control enriched - exploratory"
"F2150_mz229.1188_rt1.01",0.366088830123662,20.4139377138268,3.20187911520384,0.024299125725837,0.0634741258891255,-3.9379437560554,2150,1.011,229.1188,"Unknown","[M+H]+","ion correlated with 1043; ion correlated with 2373; ion correlated with 2975; ion correlated with 2181",0.071,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",296.24,3973.66666666667,580.580761489433,20,"Fungal in vs Fungal control","Fungal in","Not selected"
