"feature_name","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","MS/MS assigned","Formula","Ontology","Total score","S/N average","sample_to_blank_ratio","number_detected","maximum_absolute_loading"
"F1302_mz170.958_rt0.41",-0.000606185847171823,-0.0321910897388788,-0.00137654441289782,0.00164092868595675,-0.000883598842031605,-0.00628258153699048,-0.00382251086417973,-0.0161198809752058,0.00928788792297877,0.00121219106021788,0.00485461329000032,0.00111926704259824,-0.00305686751130501,-0.00308607215021339,-0.00135317680909046,0.0126789818935366,-0.00621782442042899,-0.000272499794472856,-0.00422816008891696,-0.0170542768010771,-0.019373808427172,-0.00315961421937568,-0.00754557101343368,-0.0160591647163735,1302,0.411,170.95804,"Unknown","[M+H]+",NA,FALSE,"null","null","null",91.11,27.9967887484249,23,0.0321910897388788
"F3103_mz301.1627_rt0.42",-0.000579674769212361,-0.0321259070532829,-0.00106552183119801,0.00121084113671554,-0.010334356404962,0.00144967721279031,-8.36713264682077e-05,-0.00848132014789413,-0.0078070716653946,-0.00446221717954883,0.00471844124103655,-0.0123324458663302,-0.0114598822794156,0.00302833772048816,0.00491814184213999,0.00170601456621689,-0.00259782467548995,0.00639252857824643,-0.00604459883877135,0.00183777718357518,-0.00842875664324605,-0.0134744406223805,-0.00612666412656068,-0.0147225313598186,3103,0.421,301.16272,"Unknown","[M+H]+",NA,FALSE,"null","null","null",28.58,5.72914789225994,21,0.0321259070532829
"F2031_mz220.9355_rt0.41",0.000856100309694781,-0.0320716230529538,-0.00656581527538128,-0.0027972786257914,-0.00647552889649589,-0.00106691571184598,-0.000505807991990414,-0.00225232636583447,0.00151604713090657,-0.00340011752593251,0.0114645117767411,-0.0087620456869664,-0.0029636349206909,0.00316010009630626,-0.00102383120076393,0.00463903003327604,0.00765222104787997,0.00453492489619761,-0.00200393276297871,0.00565796565769539,-0.0157077713511702,0.00396163920552205,-0.0060891379621029,0.0153121193119041,2031,0.408,220.93546,"Unknown","[M+H]+",NA,FALSE,"null","null","null",95.94,26.2835365369025,24,0.0320716230529538
"F3166_mz304.8961_rt0.41",-0.00355651525377887,-0.0318051259462236,-0.00532189301221694,-0.000143097259819294,-0.00111499255209331,-0.00770082113731628,-0.00687831844545516,0.00955979146339628,0.00403864818344231,0.00920562793624455,-0.00456079394665026,0.00528696305002652,-0.000284573322344799,-0.00545492333690762,-0.00568147741791144,0.00433115214998011,-0.000437294830347591,0.000775369613594767,9.114278683933e-05,-0.0131761672200911,-0.00838252032818117,-0.00246095893260192,-0.000810927886257943,0.0160498114770706,3166,0.413,304.89606,"Unknown","[M+H]+",NA,FALSE,"null","null","null",195.24,6.67600711056325,24,0.0318051259462236
"F3905_mz372.8828_rt0.41",0.00459845251165303,-0.0315058086273451,-0.00549208681208602,2.85466486573557e-05,-0.00661159783182261,-0.00464771885466531,-0.006446120505675,0.00369354317777049,0.0128656516487218,-0.00318281617521717,0.0032121364250479,-0.00489262919111431,0.000543457939185411,1.71650287849257e-05,-0.00185679225901466,0.00469202519646984,0.00220252572520771,0.00539142267139215,0.00142883885475737,0.00153839060597838,0.00613921176590598,0.0031263854202342,-0.00088958898150048,0.00453027012824406,3905,0.412,372.88278,"Unknown","[M+H]+",NA,FALSE,"null","null","null",2678.94,287542,22,0.0315058086273451
"F3507_mz334.9143_rt0.41",-0.00241917890981096,-0.0314662030454404,-0.00358580954186654,0.00537225399692873,0.00359388198149637,-0.00453476967712789,0.00270832056269669,0.0169015525139642,-0.0210380478632067,0.0015282316055824,-0.0152268148757354,0.00536679240914873,-0.00261409520209161,-0.0119655797535362,-0.00812268720554725,-0.00158731024139388,0.00139206684405585,0.00475774318872364,-0.00647357176931707,-0.0194232179610152,-0.00053652755790605,-0.0133811785248416,-0.0113152134256847,-0.0192836543164976,3507,0.41,334.91428,"Unknown","[M+H]+",NA,FALSE,"null","null","null",451.52,171516,24,0.0314662030454404
"F1057_mz152.9473_rt0.41",0.0056891587853931,-0.031331496722018,0.000491611815143003,0.0045679705604215,-0.00427678675988446,0.000488193034680648,0.00477534650157857,0.000921117242561585,-0.0067723999935718,-0.00711493848368802,0.0115981042138968,0.00396964740455905,-0.00117449669569865,0.000573716818641476,0.00217496018986227,-0.000444660554523388,0.00121650351234311,-0.000328644932234824,0.000235161351032484,-0.00114980840776901,0.00194813923208032,0.000529286137980717,-0.00490084608561059,-0.0160381802719392,1057,0.41,152.94733,"Unknown","[M+H]+",NA,FALSE,"null","null","null",105.28,20.5514668727521,22,0.031331496722018
"F2611_mz266.928_rt0.41",0.000942874265872159,-0.0312270633498314,-0.000784086992098772,0.0046234744759137,-0.00179669499686271,-0.000785302168510693,0.00966425446365167,0.0130519905484844,-0.00408101448445141,-0.0215596002030674,0.038634326458965,-0.00310435837365441,-0.011156985300017,0.00649193403889809,-0.00295083359314707,-0.00779360810826663,-0.00741278853773219,0.00132256530460836,-0.00171922680612626,-0.0159347745308269,-0.00617696515253606,-0.0110512910796667,-0.00586873540298729,0.00886232484665157,2611,0.406,266.92801,"Unknown","[M+H]+",NA,FALSE,"null","null","null",53.71,199566,24,0.0312270633498314
"F4140_mz402.9017_rt0.41",-0.00150215489534499,-0.0312008898411728,-0.00819844079093916,0.00582635739477956,-0.00361824679503383,-0.00361762409557785,-0.00459773656717107,-0.0112358001960229,-0.00272039311599012,0.0181754703870715,-0.0104149208714258,-0.00662903687811558,0.00326917524952669,-0.0170937063980691,0.0221197351518703,0.0104306363486498,0.0119250942342596,0.0103742854298557,-0.00185796168245437,-0.00688856433513766,-0.00891842353289991,-0.01341388615664,-0.00563331554116343,0.00443796310603257,4140,0.408,402.90167,"Unknown","[M+H]+",NA,FALSE,"null","null","null",2127.32,106367,23,0.0312008898411728
"F1803_mz204.9574_rt0.41",0.00383148309436794,-0.0308846178716908,-0.0115261657047192,0.00481031141676362,-0.00922188596023543,-0.00277748422702563,-0.00104342354747975,0.00110869576223829,-0.00325233062727862,-0.00207676776342622,-0.00145075436026336,0.000210107460758764,0.000772395436552308,0.00172086063689581,-0.00218235881562977,-0.000107761130000513,0.00117766963651887,0.00615396405083577,-0.00524323527027226,-0.0142140805866841,-0.00876284615655835,-0.00568627501266779,-0.0263870592051362,0.0119745286844889,1803,0.41,204.95743,"Unknown","[M+H]+",NA,FALSE,"null","null","null",109.62,24.7693517017828,21,0.0308846178716908
