"feature_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","comparison","higher_in","result_category","leaf_detected_n","root_detected_n","exudate_detected_n","soil_detected_n","leaf_present","root_present","exudate_present","soil_present","plant_pattern","RT_flag","MSMS_flag","annotation_flag","evidence_tier"
"F306_mz99.5314_rt0.41",-1.13397313696546,23.3614645997908,-5.9179057539194,0.00204811493063617,0.082947833545563,-0.713010038540009,306,0.406,99.53137,"Unknown","[M+2H]2+","ion correlated with 142; similar chromatogram in higher mz_4287; similar chromatogram in higher mz_2241; similar chromatogram in higher mz_3740; similar chromatogram in higher mz_4157; similar chromatogram in higher mz_4261; similar chromatogram in higher mz_3168; similar chromatogram in higher mz_4596; similar chromatogram in higher mz_4140",0.857,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",465.42,129915.333333333,153.389389068349,24,"Exudate vs Soil","Soil","Soil enriched - exploratory",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","Very early RT","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
"F2198_mz232.9286_rt0.4",-1.0665105670183,21.343956719876,-5.54358780342525,0.00272719563631684,0.082947833545563,-0.985988609405317,2198,0.397,232.92859,"Unknown","[M+H]+","ion correlated with 1709; ion correlated with 1936",0.821,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",958.51,5584,792.939122649955,24,"Exudate vs Soil","Soil","Soil enriched - exploratory",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","Very early RT","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
"F691_mz128.0194_rt0.4",-0.884211774859345,25.0646220154319,-5.57344119980341,0.00266417660863943,0.082947833545563,-0.963510278234505,691,0.395,128.01941,"Unknown","[M+H]+","ion correlated with 427; found in higher mz's MsMs_1037; found in higher mz's MsMs_964; found in higher mz's MsMs_1285",0.857,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",6753.87,274398.666666667,232.88126321825,24,"Exudate vs Soil","Soil","Not selected",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","Very early RT","MS/MS available","Unknown","Tier 5: low priority"
"F3354_mz319.2272_rt2.82",0.834682120388456,12.347765518551,5.90438223110887,0.00206889574263163,0.082947833545563,-0.72254400229484,3354,2.821,319.22717,"Unknown","[M+H]+","ion correlated with 2673; ion correlated with 3576; ion correlated with 3108; similar chromatogram in higher mz_4962",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",74.29,6651,193.172579675286,21,"Exudate vs Soil","Exudate","Not selected",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","RT >= 1 min","MS/MS available","Unknown","Tier 5: low priority"
"F946_mz145.0096_rt0.47",-1.87106822014781,17.7875845652504,-5.37653138408976,0.0031139771463993,0.0830907693331476,-1.1141173210046,946,0.473,145.00964,"Unknown","[M+H]+","ion correlated with 1776; ion correlated with 327; ion correlated with 574; ion correlated with 904; ion correlated with 1503; ion correlated with 1158; ion correlated with 1744",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",44.45,12784.3333333333,48.669047867348,8,"Exudate vs Soil","Soil","Soil enriched - exploratory",0,2,3,3,FALSE,TRUE,TRUE,TRUE,"Root + Exudate","Very early RT","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
"F904_mz142.9767_rt0.47",-1.73627346910431,18.2073545868199,-5.12661358318608,0.00381985856023878,0.0848855043992748,-1.31343085031926,904,0.474,142.9767,"Unknown","[M+H]+","ion correlated with 1776; ion correlated with 946; ion correlated with 574; ion correlated with 1503; ion correlated with 1158; ion correlated with 1744",0.143,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",67.87,24706.3333333333,30.5283046868676,6,"Exudate vs Soil","Soil","Soil enriched - exploratory",0,0,3,3,FALSE,FALSE,TRUE,TRUE,"Exudate only","Very early RT","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
"F364_mz104.1071_rt0.44",1.43194898603514,15.3994424424024,5.14043986408292,0.00377620553786229,0.0848855043992748,-1.3021591301748,364,0.44,104.1071,"Unknown","[M+H]+","similar chromatogram in higher mz_1380; found in higher mz's MsMs_2511; found in higher mz's MsMs_2042; found in higher mz's MsMs_2316; similar chromatogram in higher mz_4515; similar chromatogram in higher mz_4613; similar chromatogram in higher mz_3095; similar chromatogram in higher mz_1008; similar chromatogram in higher mz_879; similar chromatogram in higher mz_3559; similar chromatogram in higher mz_3973",0.643,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",15447.05,24680.3333333333,9645.38883636757,24,"Exudate vs Soil","Exudate","Exudate enriched - exploratory",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","Very early RT","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
"F2507_mz257.9776_rt0.4",-1.39879138371247,21.1546024926546,-4.9454210738723,0.00445027503338638,0.0848855043992748,-1.46386715031573,2507,0.397,257.9776,"Unknown","[M+H]+","ion correlated with 2219",0.857,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",15563.92,0,5058283,24,"Exudate vs Soil","Soil","Soil enriched - exploratory",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","Very early RT","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
"F1094_mz156.0422_rt0.42",1.07909435722361,20.5988047544388,5.21388113361321,0.00355390421111668,0.0848855043992748,-1.24277278032034,1094,0.424,156.04224,"Unknown","[M+H]+","found in higher mz's MsMs_2833",0.5,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",401.5,46014.3333333333,165.231118612636,24,"Exudate vs Soil","Exudate","Exudate enriched - exploratory",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","Very early RT","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
"F692_mz128.0194_rt0.53",-1.05968907209799,19.7294329022752,-5.05898350128733,0.00404209432171545,0.0848855043992748,-1.36898694506739,692,0.531,128.01942,"Unknown","[M+H]+","ion correlated with 197; ion correlated with 224",0.071,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",209.73,219843.666666667,7.29003811782258,12,"Exudate vs Soil","Soil","Soil enriched - exploratory",1,1,3,3,FALSE,FALSE,TRUE,TRUE,"Exudate only","Early RT","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
