"feature_name","group_1","group_2","group_1_mean","group_2_mean","log2_fold_change","group_1_sd","group_2_sd","p_value","adjusted_p_value","fold_change","direction","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","MS/MS assigned","Formula","Ontology","Total score","S/N average","sample_to_blank_ratio","number_detected"
"F2023_mz219.6072_rt1.61","Plant-soil exudate","Soil control",18.6938536232307,18.6485636207278,0.0452900025029201,0.0121503592564722,0.00585878448558506,0.0112995819484242,0.0220065702890748,1.03189058333934,"Higher in Plant-soil exudate",2023,1.608,219.60716,"Unknown","[M+H]+","ion correlated with 4254; ion correlated with 4120; ion correlated with 4012; ion correlated with 3355; ion correlated with 4748; ion correlated with 2185; ion correlated with 2279; ion correlated with 4161; ion correlated with 1898; ion correlated with 3884; ion correlated with 3747; ion correlated with 4992; ion correlated with 3671; ion correlated with 2119; similar chromatogram in higher mz_2131; similar chromatogram in higher mz_2185; similar chromatogram in higher mz_2279; similar chromatogram in higher mz_4748",FALSE,"null","null","null",2857.32,260483,3
"F398_mz107.5994_rt0.9","Plant-soil exudate","Soil control",18.6898534520608,18.6445634498589,0.0452900022018348,0.0121503591768634,0.0058587844459778,0.0112995819536769,0.0220065702890748,1.03189058312399,"Higher in Plant-soil exudate",398,0.898,107.59945,"Unknown","[M+H]+","ion correlated with 47; ion correlated with 818; ion correlated with 4011; ion correlated with 3478; ion correlated with 2727; ion correlated with 4054; ion correlated with 3651; ion correlated with 3312; ion correlated with 2963; ion correlated with 3025; ion correlated with 3628; ion correlated with 3334; ion correlated with 62; similar chromatogram in higher mz_2204; similar chromatogram in higher mz_4011; similar chromatogram in higher mz_733; similar chromatogram in higher mz_971; similar chromatogram in higher mz_2761; similar chromatogram in higher mz_3012; similar chromatogram in higher mz_4269; similar chromatogram in higher mz_4352; similar chromatogram in higher mz_4447; similar chromatogram in higher mz_4853; similar chromatogram in higher mz_4894; similar chromatogram in higher mz_2794; similar chromatogram in higher mz_4735; similar chromatogram in higher mz_4638",FALSE,"null","null","null",1073.68,1504.42877697842,10
"F2042_mz221.1862_rt0.45","Plant-soil exudate","Soil control",18.6859861255729,18.6406961236629,0.0452900019099509,0.0121503590996872,0.00585878440758052,0.0112995819587691,0.0220065702890748,1.03189058291522,"Higher in Plant-soil exudate",2042,0.447,221.18622,"Unknown","[M+H]+",NA,TRUE,"null","null","null",466.95,9679.00669497061,18
"F2530_mz259.206_rt5.76","Plant-soil exudate","Soil control",18.6826640337152,18.6373740320566,0.0452900016586,0.0121503590332294,0.00585878437451411,0.0112995819631606,0.0220065702890748,1.03189058273544,"Higher in Plant-soil exudate",2530,5.755,259.20605,"Unknown","[M+H]+","ion correlated with 3578; ion correlated with 1467; ion correlated with 4812",FALSE,"null","null","null",34.56,391257,3
"F4935_mz639.4029_rt6.39","Plant-soil exudate","Soil control",18.6806931087119,18.6354031072027,0.0452900015092048,0.0121503589937265,0.00585878435485934,0.0112995819657643,0.0220065702890748,1.03189058262858,"Higher in Plant-soil exudate",4935,6.387,639.40289,"Unknown","[M+H]+","ion correlated with 4893; ion correlated with 4849; ion correlated with 4819; ion correlated with 5098; ion correlated with 5080",TRUE,"null","null","null",16.85,299596,3
"F2140_mz228.1459_rt0.49","Plant-soil exudate","Soil control",18.6732980355397,18.6280080345928,0.0452900009468244,0.0121503588450294,0.00585878428087872,0.0112995819755757,0.0220065702890748,1.03189058222634,"Higher in Plant-soil exudate",2140,0.488,228.14587,"Unknown","[M+H]+","ion correlated with 2090; ion correlated with 1971; ion correlated with 1480; ion correlated with 1528; ion correlated with 2326; ion correlated with 1558",FALSE,"null","null","null",81.18,603393,12
"F2938_mz289.0921_rt0.48","Plant-soil exudate","Soil control",18.6621448391103,18.6168548390171,0.0452900000931855,0.0121503586193219,0.00585878416857994,0.0112995819904758,0.0220065702890748,1.03189058161577,"Higher in Plant-soil exudate",2938,0.482,289.09207,"Unknown","[M+H]+",NA,FALSE,"null","null","null",154.81,1435243,18
"F5155_mz793.174_rt1.51","Plant-soil exudate","Soil control",18.6426579204021,18.5973679218163,0.0452899985857762,0.0121503582207484,0.00585878397027565,0.0112995820167702,0.0220065702890748,1.03189058053759,"Higher in Plant-soil exudate",5155,1.513,793.17395,"Unknown","[M+H]+","ion correlated with 5120; ion correlated with 4013; ion correlated with 3110; ion correlated with 4134; ion correlated with 1404; ion correlated with 3078; ion correlated with 3270; ion correlated with 2745; ion correlated with 4225; ion correlated with 4254",FALSE,"null","null","null",59.73,207607,3
"F4741_mz549.4495_rt9.29","Plant-soil exudate","Soil control",18.6194485015037,18.5741585047401,0.0452899967636355,0.0121503577389617,0.00585878373056831,0.0112995820485696,0.0220065702890748,1.0318905792343,"Higher in Plant-soil exudate",4741,9.285,549.44946,"Unknown","[M+H]+","ion correlated with 4692",TRUE,"null","null","null",3549.47,334979,3
"F4936_mz640.4371_rt8.15","Plant-soil exudate","Soil control",18.6166568420023,18.5713668454598,0.0452899965424827,0.0121503576804883,0.00585878370147542,0.0112995820524319,0.0220065702890748,1.03189057907612,"Higher in Plant-soil exudate",4936,8.151,640.43707,"Unknown","[M+H]+","ion correlated with 4941; ion correlated with 4821; ion correlated with 4745; ion correlated with 4778; ion correlated with 4862; ion correlated with 4906; ion correlated with 4956; ion correlated with 4823",FALSE,"null","null","null",1387.48,216601,3
"F2090_mz225.0985_rt0.45","Plant-soil exudate","Soil control",18.614775085066,18.5694850886728,0.0452899963931728,0.0121503576410087,0.00585878368183308,0.0112995820550342,0.0220065702890748,1.03189057896933,"Higher in Plant-soil exudate",2090,0.446,225.09846,"Unknown","[M+H]+","ion correlated with 1971; ion correlated with 1528; ion correlated with 2326; ion correlated with 2140",FALSE,"null","null","null",85.09,557546,12
"F3796_mz361.1989_rt2.26","Plant-soil exudate","Soil control",18.61097386359,18.565683867499,0.0452899960909612,0.0121503575611019,0.00585878364207617,0.0112995820603089,0.0220065702890748,1.03189057875317,"Higher in Plant-soil exudate",3796,2.264,361.19888,"Unknown","[M+H]+","ion correlated with 3567; ion correlated with 3596; ion correlated with 3282",TRUE,"null","null","null",109.79,391341,3
"F4341_mz435.1291_rt1.17","Plant-soil exudate","Soil control",18.5933596131067,18.5480696184266,0.0452899946801288,0.0121503571880671,0.00585878345647675,0.0112995820849286,0.0220065702890748,1.03189057774407,"Higher in Plant-soil exudate",4341,1.17,435.12915,"Unknown","[M+H]+","ion correlated with 4167; ion correlated with 1747; ion correlated with 1764; ion correlated with 3971; ion correlated with 4223; ion correlated with 5140; ion correlated with 4684; ion correlated with 4647; ion correlated with 4543; ion correlated with 4153; ion correlated with 3574; ion correlated with 4333; ion correlated with 3143; ion correlated with 1598; ion correlated with 4110; ion correlated with 3772; ion correlated with 4353; ion correlated with 4388; ion correlated with 2740; ion correlated with 4166; ion correlated with 4929; ion correlated with 4952; ion correlated with 3957; ion correlated with 3566; ion correlated with 4960; ion correlated with 4041; ion correlated with 3635; ion correlated with 4743; ion correlated with 4797; ion correlated with 4789; ion correlated with 4803; ion correlated with 4792; ion correlated with 4937; ion correlated with 1381; ion correlated with 1635; ion correlated with 4062; ion correlated with 2013; ion correlated with 4871; ion correlated with 4825; ion correlated with 4381; ion correlated with 1402",FALSE,"null","null","null",1294.71,413058,3
"F748_mz131.368_rt0.89","Plant-soil exudate","Soil control",18.5908322339927,18.5455422395164,0.0452899944762812,0.0121503571341684,0.00585878342966083,0.0112995820884848,0.0220065702890748,1.03189057759827,"Higher in Plant-soil exudate",748,0.892,131.36801,"Unknown","[M+H]+","ion correlated with 712; ion correlated with 769; ion correlated with 3025; ion correlated with 3628",FALSE,"null","null","null",3698.66,1035762,10
"F1590_mz191.077_rt0.42","Plant-soil exudate","Soil control",18.5814832594095,18.5361932656903,0.0452899937191127,0.0121503569339657,0.00585878333005256,0.011299582101693,0.0220065702890748,1.0318905770567,"Higher in Plant-soil exudate",1590,0.421,191.07697,"Unknown","[M+H]+","ion correlated with 493; ion correlated with 1616; ion correlated with 1266; ion correlated with 4246; ion correlated with 2151",FALSE,"null","null","null",83.46,725.54679439941,12
"F3101_mz301.1507_rt0.48","Plant-soil exudate","Soil control",18.5806317486813,18.5353417550314,0.0452899936499058,0.0121503569156695,0.00585878332094787,0.0112995821029105,0.0220065702890748,1.0318905770072,"Higher in Plant-soil exudate",3101,0.477,301.1507,"Unknown","[M+H]+",NA,FALSE,"null","null","null",74.39,159.774470623322,12
"F4821_mz585.4313_rt8.14","Plant-soil exudate","Soil control",18.5779500790238,18.5326600855921,0.0452899934316804,0.0121503568579684,0.0058587832922411,0.0112995821067136,0.0220065702890748,1.03189057685112,"Higher in Plant-soil exudate",4821,8.144,585.43134,"Unknown","[M+H]+","ion correlated with 4941; ion correlated with 4745; ion correlated with 4778; ion correlated with 4906; ion correlated with 4936; ion correlated with 4956",TRUE,"null","null","null",26.26,246740,3
"F4575_mz487.0852_rt1.1","Plant-soil exudate","Soil control",18.5738793074949,18.5285893143953,0.0452899930996438,0.0121503567701736,0.00585878324855915,0.0112995821125046,0.0220065702890748,1.03189057661363,"Higher in Plant-soil exudate",4575,1.097,487.08517,"Unknown","[M+H]+","ion correlated with 4668; ion correlated with 3962; ion correlated with 3757; ion correlated with 3536; ion correlated with 4098; ion correlated with 4310; ion correlated with 3876; ion correlated with 4597; ion correlated with 3895; ion correlated with 4693; ion correlated with 3638; ion correlated with 4167; ion correlated with 4739; ion correlated with 3194; ion correlated with 4640; ion correlated with 3022; ion correlated with 4618; ion correlated with 4192; ion correlated with 4307",FALSE,"null","null","null",5422.12,350206,3
"F4789_mz573.1222_rt1.19","Plant-soil exudate","Soil control",18.5658987252994,18.5206087328535,0.0452899924459729,0.0121503565973395,0.00585878316256801,0.0112995821239139,0.0220065702890748,1.03189057614609,"Higher in Plant-soil exudate",4789,1.186,573.12225,"Unknown","[M+H]+","ion correlated with 4223; ion correlated with 5140; ion correlated with 4647; ion correlated with 4543; ion correlated with 4153; ion correlated with 3574; ion correlated with 4639; ion correlated with 4333; ion correlated with 4192; ion correlated with 4307; ion correlated with 3143; ion correlated with 4250; ion correlated with 4950; ion correlated with 1598; ion correlated with 4110; ion correlated with 3772; ion correlated with 4080; ion correlated with 4353; ion correlated with 4341; ion correlated with 3733; ion correlated with 4388; ion correlated with 2740; ion correlated with 4166; ion correlated with 4206; ion correlated with 1221; ion correlated with 4952; ion correlated with 3957; ion correlated with 3566; ion correlated with 4960; ion correlated with 4041; ion correlated with 3635; ion correlated with 4229; ion correlated with 2037; ion correlated with 4797; ion correlated with 4803; ion correlated with 4806; ion correlated with 3224; ion correlated with 4792; ion correlated with 4937; ion correlated with 1381; ion correlated with 1635; ion correlated with 4100; ion correlated with 2013; ion correlated with 4871; ion correlated with 4825; ion correlated with 4381",FALSE,"null","null","null",4648.34,307574,3
