"feature_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","comparison","higher_in","result_category"
"F3938_mz376.1612_rt0.94",0.978038313579193,17.432280280079,2.23042036594661,0.0758896282588146,0.17712861042454,-4.84847788588889,3938,0.943,376.16122,"Unknown","[M+H]+","ion correlated with 2944",0.286,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",747.55,0,422620,13,"Fungi old vs Fungal out","Fungi old","Not selected"
"F1063_mz153.1025_rt1.02",0.538013262666648,18.4032570986874,2.22472278375006,0.0764361056148244,0.178160027107247,-4.85598045173884,1063,1.024,153.10251,"Unknown","[M+H]+","ion correlated with 855; ion correlated with 1222; ion correlated with 2554; ion correlated with 2113",0.429,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",28.31,0,473527,17,"Fungi old vs Fungal out","Fungi old","Not selected"
"F1690_mz197.1175_rt1.25",0.470099735168612,16.9159507308128,2.2241540175378,0.0764908882034691,0.178160027107247,-4.85672941604715,1690,1.246,197.11752,"Unknown","[M+H]+","ion correlated with 4895; ion correlated with 4673; ion correlated with 4062; ion correlated with 827; ion correlated with 4909; ion correlated with 3495; ion correlated with 3284; ion correlated with 4068; found in higher mz's MsMs_3284; found in higher mz's MsMs_3495; similar chromatogram in higher mz_3284; similar chromatogram in higher mz_4031; similar chromatogram in higher mz_4068; similar chromatogram in higher mz_4159; similar chromatogram in higher mz_4174; found in higher mz's MsMs_4031; similar chromatogram in higher mz_4555",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",124.02,34386.3333333333,39.7403016614645,24,"Fungi old vs Fungal out","Fungi old","Not selected"
"F1436_mz180.0659_rt1.06",2.00122653789563,18.3354754147427,2.21916432152777,0.0769732860285051,0.179097052611589,-4.86330005615847,1436,1.057,180.06589,"Unknown","[M+H]+","ion correlated with 2250; ion correlated with 3013; found in higher mz's MsMs_2941",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",226.45,2111,551.848484848485,19,"Fungi old vs Fungal out","Fungi old","Not selected"
"F2867_mz285.124_rt1.08",1.18931960318045,17.5489080598547,2.21724744365158,0.0771594690132856,0.179343630679529,-4.86582432169193,2867,1.076,285.12405,"Unknown","[M+H]+","ion correlated with 3277",0.143,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",60.12,43728,13.0241944704887,24,"Fungi old vs Fungal out","Fungi old","Not selected"
"F1289_mz169.1225_rt1.1",1.53804987611444,14.8635470625172,2.20123727023681,0.0787333787304106,0.182811874186083,-4.88690810544768,1289,1.104,169.12248,"Unknown","[M+H]+","ion correlated with 4257; ion correlated with 3349; ion correlated with 3823; ion correlated with 4486; ion correlated with 3491; ion correlated with 4019; ion correlated with 4192; ion correlated with 3143; ion correlated with 4250; similar chromatogram in higher mz_4693",0.107,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",75.9,53652.3333333333,6.66048086481113,24,"Fungi old vs Fungal out","Fungi old","Not selected"
"F669_mz126.0551_rt0.49",0.481925729836732,22.6192283505725,2.19774300563721,0.0790814125899804,0.18342950057178,-4.89150976912762,669,0.488,126.05509,"Unknown","[M+H]+","similar chromatogram in higher mz_2630; similar chromatogram in higher mz_2960; similar chromatogram in higher mz_2050; similar chromatogram in higher mz_2885",0.429,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",289.11,121919.333333333,66.0222686399042,22,"Fungi old vs Fungal out","Fungi old","Not selected"
"F2314_mz243.1344_rt1.09",-0.873685513292031,21.5985904059028,-2.19460181210379,0.079395677529172,0.183803526991154,-4.89564646595405,2314,1.091,243.13443,"Unknown","[M+H]+",NA,0.464,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",268.73,3434.66666666667,1744.90006791501,19,"Fungi old vs Fungal out","Fungal out","Not selected"
"F2855_mz284.0994_rt0.77",-9.35815987145116,14.2094151417449,-2.19448819520835,0.0794070693530658,0.183803526991154,-4.89579609004729,2855,0.771,284.09943,"Unknown","[M+H]+","ion correlated with 3644",0.036,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",131.24,0,1138343,10,"Fungi old vs Fungal out","Fungal out","Not selected"
"F3832_mz365.1057_rt0.55",-0.510057146692555,21.5716032203388,-2.18757484878156,0.0801035193231954,0.185223856470181,-4.90490035702241,3832,0.549,365.10571,"Unknown","[M+H]+",NA,0.036,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1515.66,0,4248327,18,"Fungi old vs Fungal out","Fungal out","Not selected"
