"feature_name","group_1","group_2","group_1_mean","group_2_mean","log2_fold_change","group_1_sd","group_2_sd","p_value","adjusted_p_value","fold_change","direction","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","MS/MS assigned","Formula","Ontology","Total score","S/N average","sample_to_blank_ratio","number_detected"
"F2512_mz258.1263_rt1.34","Leaf","Root",23.2741591923993,25.3950004328548,-2.12084124045554,0.292217420069656,0.201316272985192,0.00089054022741817,0.00629371931457528,0.229912810609286,"Higher in Root",2512,1.341,258.12628,"Unknown","[M+2H]2+","ion correlated with 4660; similar chromatogram in higher mz_4660",TRUE,"null","null","null",4461.15,26413423,20
"F3026_mz295.2271_rt3.94","Leaf","Root",13.366392394997,20.43993004574,-7.07353765074309,0.767319416015797,0.370902950454342,0.000893415649812281,0.00629371931457528,0.00742425690677599,"Higher in Root",3026,3.945,295.22711,"Unknown","[M+H]+",NA,TRUE,"null","null","null",110.85,253.558842039018,23
"F139_mz81.0172_rt0.86","Leaf","Root",22.7687180018879,25.5209711913233,-2.7522531894354,0.302619713432081,0.148564155898916,0.000896024440032822,0.00629371931457528,0.148418908819561,"Higher in Root",139,0.858,81.01715,"Unknown","[M+H]+",NA,TRUE,"null","null","null",14.05,20.4469407753386,24
"F3661_mz349.0082_rt0.44","Leaf","Root",16.1432386878333,10.171093983047,5.97214470478635,0.348318350730821,0.0518711580811274,0.000909529916068803,0.00629371931457528,62.776152495236,"Higher in Leaf",3661,0.435,349.00824,"Unknown","[M+H]+","ion correlated with 4589; ion correlated with 4630; ion correlated with 4891; ion correlated with 4424; ion correlated with 4701; ion correlated with 4731; ion correlated with 4260; ion correlated with 4493; ion correlated with 4249; ion correlated with 4623; ion correlated with 4824; ion correlated with 3531; ion correlated with 3069; ion correlated with 3273; ion correlated with 4528; ion correlated with 714; ion correlated with 998; ion correlated with 1872; ion correlated with 4124; ion correlated with 4451; ion correlated with 4646; ion correlated with 2129; ion correlated with 977; ion correlated with 3086",FALSE,"null","null","null",3535.95,186733,11
"F2493_mz256.96_rt0.52","Leaf","Root",17.4336790640669,20.5620693709809,-3.12839030691391,0.400168898573748,0.237422863678188,0.000921530040285557,0.00629371931457528,0.114356453819952,"Higher in Root",2493,0.522,256.96002,"Unknown","[M+H]+",NA,FALSE,"null","null","null",356.95,348.840051457976,20
"F956_mz145.1013_rt3.54","Leaf","Root",15.8635197847556,10.9897408945302,4.87377889022542,0.682498807152265,0.680175648419892,0.000935768204508788,0.00629371931457528,29.3193027615054,"Higher in Leaf",956,3.545,145.10135,"Unknown","[M+H]+","ion correlated with 1041; ion correlated with 779; ion correlated with 2014; ion correlated with 2157; ion correlated with 3115; ion correlated with 3702; ion correlated with 376; ion correlated with 741; ion correlated with 1141; ion correlated with 1166; ion correlated with 1379; ion correlated with 1546; ion correlated with 1893; ion correlated with 2293; ion correlated with 2563; ion correlated with 3959; ion correlated with 3318; ion correlated with 3338; ion correlated with 397; ion correlated with 597; ion correlated with 625; ion correlated with 1019; ion correlated with 1190; ion correlated with 1257; ion correlated with 1349; ion correlated with 1630; ion correlated with 1752; ion correlated with 2317; ion correlated with 2448; ion correlated with 2474; ion correlated with 2676; ion correlated with 2746; ion correlated with 2954; ion correlated with 3083; ion correlated with 3098; ion correlated with 3118; ion correlated with 3504; ion correlated with 3745; ion correlated with 3906; ion correlated with 5005; ion correlated with 5013; ion correlated with 5038; ion correlated with 5047; ion correlated with 4092; ion correlated with 3515; ion correlated with 4188; ion correlated with 3942; ion correlated with 4987; found in higher mz's MsMs_3115; found in higher mz's MsMs_3702; found in higher mz's MsMs_3318; found in higher mz's MsMs_2676; found in higher mz's MsMs_5005; found in higher mz's MsMs_3847; found in higher mz's MsMs_3515; found in higher mz's MsMs_3976; found in higher mz's MsMs_2474; found in higher mz's MsMs_2746; found in higher mz's MsMs_2954; found in higher mz's MsMs_1190; found in higher mz's MsMs_3083; found in higher mz's MsMs_3504",FALSE,"null","null","null",32.08,174.358755760369,13
"F4197_mz409.2745_rt4.41","Leaf","Root",15.6037028026359,10.5416291768887,5.06207362574725,0.308488900336031,0.0518813472305746,0.000940141245254534,0.00629371931457528,33.406886503638,"Higher in Leaf",4197,4.406,409.27451,"Unknown","[M+H]+","ion correlated with 1465",FALSE,"null","null","null",5.77,373.960987261146,10
"F4782_mz568.4284_rt8.15","Leaf","Root",20.8140190293575,13.4670359577759,7.34698307158163,0.213475895301589,0.623715374602362,0.000947848075190603,0.00629371931457528,162.802954540748,"Higher in Leaf",4782,8.151,568.42841,"Unknown","[M+H]+","ion correlated with 4914",TRUE,"null","null","null",31564.91,4527155,4
"F4037_mz388.1606_rt1.02","Leaf","Root",18.5563290198268,13.0171538721261,5.53917514770069,0.333377577890246,0.0519098861590274,0.000951941609494127,0.00629371931457528,46.5005265533172,"Higher in Leaf",4037,1.019,388.16061,"Unknown","[M+H]+","ion correlated with 1654; ion correlated with 4201; ion correlated with 1405; ion correlated with 3624; ion correlated with 2793; ion correlated with 3937; ion correlated with 3608; ion correlated with 4687; ion correlated with 4207; ion correlated with 3309; ion correlated with 4550; ion correlated with 4257; ion correlated with 3741; ion correlated with 1403; ion correlated with 3962; ion correlated with 392; ion correlated with 3830",TRUE,"null","null","null",219.27,1111419,5
"F4134_mz400.2701_rt1.49","Leaf","Root",15.7213627769558,11.6468614782248,4.07450129873103,0.263099637811747,0.05189996863165,0.000962648003637322,0.00629371931457528,16.8479516802013,"Higher in Leaf",4134,1.488,400.27005,"Unknown","[M+H]+","ion correlated with 3925; ion correlated with 4972; ion correlated with 3440; ion correlated with 3556; ion correlated with 3050; ion correlated with 5120; ion correlated with 3298; ion correlated with 3110; ion correlated with 1404; ion correlated with 5155; ion correlated with 3505; ion correlated with 3896; ion correlated with 3270; ion correlated with 2745; ion correlated with 4225",FALSE,"null","null","null",12.49,164718,4
"F3103_mz301.1627_rt0.42","Leaf","Root",13.2633272768797,17.1212220573728,-3.85789478049315,0.235164959729566,0.454328526951161,0.000969315084307665,0.00629371931457528,0.0689696387045794,"Higher in Root",3103,0.421,301.16272,"Unknown","[M+H]+",NA,FALSE,"null","null","null",28.58,5.72914789225994,21
"F3817_mz363.2533_rt2.86","Leaf","Root",15.4593675066374,11.0530531230546,4.4063143835828,0.597819127103292,0.638994362561996,0.000971018734289335,0.00629371931457528,21.2047325793793,"Higher in Leaf",3817,2.862,363.25327,"Unknown","[M+H]+","ion correlated with 1920; ion correlated with 2709; ion correlated with 3681; ion correlated with 3826; ion correlated with 4962; ion correlated with 2184; ion correlated with 3339; ion correlated with 4662; ion correlated with 4148; similar chromatogram in higher mz_4662",FALSE,"null","null","null",35.02,213.349378881988,7
"F1186_mz163.0602_rt0.47","Leaf","Root",18.7711870190316,20.9223271482815,-2.15114012924987,0.265215906922869,0.317924228540203,0.000975975233923214,0.00629371931457528,0.225134626529902,"Higher in Root",1186,0.473,163.06023,"Unknown","[M+H]+","ion correlated with 1575",FALSE,"null","null","null",197.54,70.9386132970217,24
